track_id,artist
6AYmNlxHIzmAW7mYeaqpNo,Metá Metá
2HuJOBhLO7nm4DMqdjtqir,Model 500
6rZ17m2X1UIjsVn1zw4Ctm,FACE
2mhD6IAZ7oGdRT8bzFI5tF,FREAKY
2mhD6IAZ7oGdRT8bzFI5tF,Shaquille O'Neal
10l4eK1EkaXCV5xHfx0jgd,Pamputtae
10l4eK1EkaXCV5xHfx0jgd,Bounty Killer
10l4eK1EkaXCV5xHfx0jgd,Esco Da Shocker
1eXPI2LjXp9qFch9MElnIW,Anis Don Demina
4ZO6Q6Uif5xSV7ra8GQqyN,Anna Luisa
3xWvJFBaEMVZPwIzkO6nBo,Nívea Soares
3PG6V5yuFfo4APiovOQoRv,Ray LaMontagne
3PG6V5yuFfo4APiovOQoRv,Sierra Ferrell
4IM0eSvgcbFwuwMx0iYOUu,Paul Anka
4IM0eSvgcbFwuwMx0iYOUu,Odia Coates
4R7MYSJfwhtRhl7m8BgkDX,Andi Smith
5jqv9Mzo3UC7YpxWkccEKf,Franz Liszt
5jqv9Mzo3UC7YpxWkccEKf,Nelson Freire
2OxysySr6uOToqnrf0tlAq,Kahtmayan
2fx2o5YAwL19MaNEF9bh2w,Caju Pra Baixo
2R0B44jOb1mC2rU8ObMh0f,Michael W. Smith
1T7QAliOBS2iHntHcTs6jI,Mike Rowland
5KTBaWu8IOczQ0sPWzZ7MY,Rammstein
6flEDs8jmQ47ZSFZru59Fz,NICO Touches the Walls
6i2LtlAiI4FnFyZeNUGBn0,Granular
1gvLIV1RrQvy3JdxHsvTgg,Yiyo Sarante
1gvLIV1RrQvy3JdxHsvTgg,Lapiz Conciente
4finiJ0gZEZbOSJpmTXcLM,Kidz Bop Kids
7AxHkJlQJ7BLfcdSUC5oLA,Greensky Bluegrass
5ydZfP4XcLgy4Wkk0xKXwK,James Hype
5ydZfP4XcLgy4Wkk0xKXwK,Pia Mia
2XmNz3NbRCsuMeygkSXJWG,Zeca Pagodinho
39y4SqBr6Nu2DIvQQC8Rez,Frei Gilson
6lDWfsPviEeDc5xexjPOzF,Keith Urban
6lDWfsPviEeDc5xexjPOzF,P!nk
